"HH_ID","ID","age","sex","birth_date","ID_mother","ID_father","date_prev_birth","num_births","ID_partner","union","child","mother","father","parent","HH_adults","age_first_birth","original_ID","hh_position","partner","main_parent","random_inf","enter_pop","comm_hh_prop","child18_hh","disease_state","inf_time","age_group_hh","age_group_pop","age_group","age_group_trans","parent_pop","transition","event_date","age_partner","immigrant","HH_size","HH_children","lipro_child_hh","NH"
4731642,7774353,80,"F",1931-11-28,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,"B4F2E5AB68C66305","single",0,NA,NA,NA,NA,NA,NA,NA,4,4,38,43,0,NA,2011-08-03,NA,NA,1,0,0,0
4731643,5194742,19,"M",1992-05-08,7782336,1627238,NA,NA,NA,0,0,0,0,0,2,NA,"78DD886A285B2A86","child",1,7782336,NA,NA,NA,NA,NA,NA,3,3,10,10,1,NA,2011-03-30,NA,NA,2,0,1,0
4731643,7782336,42,"F",1969-02-26,NA,NA,1992-05-08,1,NA,0,0,1,0,1,2,23.2109589041096,"B522E116CDFE7C96","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,23,23,0,NA,2011-03-30,NA,NA,2,0,1,0
4731645,8185343,34,"F",1977-11-04,NA,NA,NA,0,NA,0,0,0,0,0,2,NA,"BE84F4958DE5C9A6","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,19,19,0,NA,2011-11-09,NA,NA,1,0,0,0
4731646,6469473,5,"F",2006-08-20,8186421,8223040,NA,NA,NA,0,1,0,0,0,2,NA,"968E0A71583AF7D3","child",1,8186421,NA,NA,NA,NA,NA,NA,1,1,4,4,1,NA,2011-02-21,NA,NA,3,2,2,0
4731646,8433595,16,"F",1995-08-18,8186421,8223040,NA,0,NA,0,1,0,0,0,2,NA,"C44BF7EBD7A82FAF","child",1,8186421,NA,NA,NA,NA,NA,NA,2,2,9,9,1,NA,2011-02-21,NA,NA,3,2,2,0
4731646,8186421,42,"F",1969-10-10,NA,NA,2006-08-20,2,NA,0,0,1,0,1,2,25.8712328767123,"BE8B6126154CF31A","single_parent",0,NA,NA,NA,NA,NA,NA,NA,3,3,22,22,0,NA,2011-02-21,NA,NA,3,2,2,0
4731647,8324081,35,"F",1976-12-13,NA,NA,NA,0,NA,0,0,0,0,0,2,NA,"C1C075339EB7610E","single",0,NA,NA,NA,NA,NA,NA,NA,3,3,20,20,0,NA,2011-07-07,NA,NA,1,0,0,0
4731648,2123993,1,"F",2010-10-10,8394696,3972826,NA,NA,NA,0,1,0,0,0,2,NA,"317081D542292175","child",1,8394696,NA,NA,NA,NA,NA,NA,1,1,2,2,1,NA,2011-04-09,NA,NA,4,3,3,0
4731648,10092348,3,"M",2008-04-01,8394696,3972826,NA,NA,NA,0,1,0,0,0,2,NA,"EADE3E46EAAA0960","child",1,8394696,NA,NA,NA,NA,NA,NA,1,1,3,3,1,NA,2011-04-09,NA,NA,4,3,3,0
